"47 The American Sign Language and English Secondary School","223 EAST 23 STREET MANHATTAN, NY 10010",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Brooklyn Landmark Elementary School","251 MAC DOUGAL STREET BROOKLYN, NY 11233",40.680456,-73.910372,1,rooftop,251,"Mac Dougal St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"Central Park East High School","1573 MADISON AVENUE MANHATTAN, NY 10029",40.793907,-73.949097,1,rooftop,1573,"Madison Ave","New York",NY,"New York County",10029,US,"City of New York"
"Cobble Hill School of American Studies","347 BALTIC STREET BROOKLYN, NY 11201",40.684568,-73.99086,1,rooftop,347,"Baltic St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"College Point Collaborative","12406 14TH AVENUE QUEENS, NY 11356",40.785234,-73.843373,1,rooftop,124-6,"14th Ave","College Point",NY,"Queens County",11356,US,"City of New York"
"Collegiate Institute for Math and Science","925 ASTOR AVENUE BRONX, NY 10469",40.8599,-73.860322,1,rooftop,925,"Astor Ave",Bronx,NY,"Bronx County",10469,US,"City of New York"
"Community Health Academy of the Heights","504 WEST 158TH STREET MANHATTAN, NY 10032",40.833606,-73.942262,1,rooftop,504,"W 158th St","New York",NY,"New York County",10032,US,"City of New York"
"Community Voices Middle School","145-00 SPRINGFIELD BOULEVARD QUEENS, NY 11413",40.66463,-73.759125,1,rooftop,145-,"Springfield Blvd","Springfield Gardens",NY,"Queens County",11413,US,"City of New York"
"Crotona International High School","2474 CROTONA AVENUE BRONX, NY 10458",40.855298,-73.882703,1,rooftop,2474,"Crotona Ave",Bronx,NY,"Bronx County",10458,US,"City of New York"
"Curtis High School","105 HAMILTON AVENUE STATEN ISLAND, NY 10301",40.646002,-74.082823,1,rooftop,105,"Hamilton Ave","Staten Island",NY,"Richmond County",10301,US,"City of New York"
"EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE","605 SHEPHERD AVENUE BROOKLYN, NY 11208",40.669482,-73.879457,1,rooftop,605,"Shepherd Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"Eagle Academy for Young Men","4143 THIRD AVENUE BRONX, NY 10457",40.845256,-73.897071,1,rooftop,4143,"3rd Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"East Flatbush Community Research School","905 WINTHROP STREET BROOKLYN, NY 11203",40.658644,-73.928571,1,rooftop,905,"Winthrop St",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"Elementary School for Math, Science, and Technology","125 EAST 181 STREET BRONX, NY 10453",40.855024,-73.90336,1,rooftop,125,"E 181st St",Bronx,NY,"Bronx County",10453,US,"City of New York"
"Evergreen M.S. for Urban Exploration","125 COVERT STREET BROOKLYN, NY 11207",40.688805,-73.910047,1,rooftop,125,"Covert St",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"Eximius College Preparatory Academy: A College Board School","1363 FULTON AVENUE BRONX, NY 10456",40.833861,-73.902511,1,rooftop,1363,"Fulton Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"Expeditionary Learning School for Community Leaders","2630 BENSON AVENUE BROOKLYN, NY 11214",40.593992,-73.985748,1,rooftop,2630,"Benson Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"Fairmont Neighborhood School","1550 VYSE AVENUE BRONX, NY 10460",40.834283,-73.88725,1,rooftop,1550,"Vyse Ave",Bronx,NY,"Bronx County",10460,US,"City of New York"
"Fannie Lou Hamer Freedom High School","1021 JENNINGS STREET BRONX, NY 10460",40.83093,-73.886116,1,rooftop,1021,"Jennings St",Bronx,NY,"Bronx County",10460,US,"City of New York"
"Fort Hamilton High School","8301 SHORE ROAD BROOKLYN, NY 11209",40.627236,-74.039738,1,rooftop,8301,"Shore Rd",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"Franklin Delano Roosevelt High School","5800 20 AVENUE BROOKLYN, NY 11204",40.591132,-73.983367,0.8,rooftop,20,"Ave W",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"Frederick Douglass Academy","2581 7TH AVENUE MANHATTAN, NY 10039",40.823921,-73.937305,1,range_interpolation,2581,"7th Ave","New York",NY,"New York County",10039,US,"TIGER/Line® dataset from the US Census Bureau"
"GRANT AVENUE ELEMENTARY SCHOOL","250 EAST 164 STREET BRONX, NY 10456",40.828333,-73.917277,1,rooftop,250,"E 164th St",Bronx,NY,"Bronx County",10456,US,"City of New York"
"Goldie Maple Academy","3-65 BEACH 56 STREET QUEENS, NY 11692",40.592532,-73.785879,0.7,range_interpolation,3,"Beach 56th St",Arverne,NY,"Queens County",11692,US,"TIGER/Line® dataset from the US Census Bureau"
"Gregory Jocko Jackson School of Sports, Art and Technology (The)","213 OSBORN STREET BROOKLYN, NY 11212",40.667022,-73.907987,1,rooftop,213,"Osborn St",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"Harlem Renaissance High School","22 EAST 128 STREET MANHATTAN, NY 10035",40.807816,-73.939912,1,rooftop,22,"E 128th St","New York",NY,"New York County",10035,US,"City of New York"
"Harry S Truman High School","750 BAYCHESTER AVENUE BRONX, NY 10475",40.874114,-73.833119,1,rooftop,750,"Baychester Ave",Bronx,NY,"Bronx County",10475,US,"City of New York"
"High School for Environmental Studies","444 WEST 56 STREET MANHATTAN, NY 10019",40.767928,-73.988097,1,rooftop,444,"W 56th St","New York",NY,"New York County",10019,US,"City of New York"
"High School for Law, Advocacy and Community Justice","122 AMSTERDAM AVENUE MANHATTAN, NY 10023",40.774469,-73.984959,1,rooftop,122,"Amsterdam Ave","New York",NY,"New York County",10023,US,"City of New York"
"High School for Public Service: Heroes of Tomorrow","600 KINGSTON AVENUE BROOKLYN, NY 11203",40.658815,-73.942978,1,rooftop,600,"Kingston Ave",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"High School of World Cultures","1300 BOYNTON AVENUE BRONX, NY 10472",40.831814,-73.878702,1,rooftop,1300,"Boynton Ave",Bronx,NY,"Bronx County",10472,US,"City of New York"
"Hillcrest High School","160-05 HIGHLAND AVENUE QUEENS, NY 11432",40.709264,-73.802174,1,rooftop,160-5,"Highland Ave",Jamaica,NY,"Queens County",11432,US,"City of New York"
"I.S. 024 Myra S. Barnes","750 DURANT AVENUE STATEN ISLAND, NY 10308",40.545711,-74.146009,1,rooftop,750,"Durant Ave","Staten Island",NY,"Richmond County",10308,US,"City of New York"
"I.S. 027 Anning S. Prall","11 CLOVE LAKE PLACE STATEN ISLAND, NY 10310",40.628294,-74.117066,1,rooftop,11,"Clove Lake Pl","Staten Island",NY,"Richmond County",10310,US,"City of New York"
"I.S. 059 Springfield Gardens","132-55 RIDGEDALE STREET QUEENS, NY 11413",40.682017,-73.753133,1,rooftop,132-55,"Ridgedale St","Springfield Gardens",NY,"Queens County",11413,US,"City of New York"
"I.S. 061 Leonardo Da Vinci","98-50 50 AVENUE QUEENS, NY 11368",40.742626,-73.862756,1,rooftop,98-50,"50th Ave",Corona,NY,"Queens County",11368,US,"City of New York"
"I.S. 068 Isaac Bildersee","956 EAST 82 STREET BROOKLYN, NY 11236",40.635281,-73.910731,1,rooftop,956,"E 82nd St",Brooklyn,NY,"Kings County",11236,US,"City of New York"
"I.S. 072 Rocco Laurie","33 FERNDALE AVENUE STATEN ISLAND, NY 10314",40.592757,-74.158633,1,rooftop,33,"Ferndale Ave","Staten Island",NY,"Richmond County",10314,US,"City of New York"
"I.S. 093 Ridgewood","66-56 FOREST AVENUE QUEENS, NY 11385",40.705855,-73.902827,1,rooftop,66-56,"Forest Ave",Ridgewood,NY,"Queens County",11385,US,"City of New York"
"I.S. 117 Joseph H. Wade","1865 MORRIS AVENUE BRONX, NY 10453",40.848605,-73.908568,1,rooftop,1865,"Morris Ave",Bronx,NY,"Bronx County",10453,US,"City of New York"
"I.S. 125 Thom J. McCann Woodside","46-02 47 AVENUE QUEENS, NY 11377",40.740919,-73.918688,1,rooftop,46-2,"47th Ave",Woodside,NY,"Queens County",11377,US,"City of New York"
"I.S. 136 Charles O. Dewey","4004 4 AVENUE BROOKLYN, NY 11232",40.654686,-74.011323,0.72,nearest_rooftop_match,4002,"2nd Ave",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"I.S. 141 The Steinway","37-11 21 AVENUE QUEENS, NY 11105",40.775564,-73.904739,1,rooftop,37-11,"21st Ave",Astoria,NY,"Queens County",11105,US,"City of New York"
"I.S. 171 Abraham Lincoln","528 RIDGEWOOD AVENUE BROOKLYN, NY 11208",40.686042,-73.869468,1,rooftop,528,"Ridgewood Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"I.S. 211 John Wilson","1001 EAST 100 STREET BROOKLYN, NY 11236",40.642933,-73.895605,1,rooftop,1001,"E 100th St",Brooklyn,NY,"Kings County",11236,US,"City of New York"
"I.S. 219 New Venture School","3630 THIRD AVENUE BRONX, NY 10456",40.833781,-73.904118,1,rooftop,3630,"3rd Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"I.S. 228 David A. Boody","228 AVENUE S BROOKLYN, NY 11223",40.601113,-73.976772,1,rooftop,228,"Ave S",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"I.S. 229 Roland Patterson","275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",40.852635,-73.92127,1,rooftop,275,"Harlem River Park Brg",Bronx,NY,"Bronx County",10453,US,"City of New York"
"I.S. 237","46-21 COLDEN STREET QUEENS, NY 11355",40.7493,-73.821548,1,rooftop,46-21,"Colden St",Flushing,NY,"Queens County",11355,US,"City of New York"
"I.S. 238 - Susan B. Anthony Academy","88-15 182 STREET QUEENS, NY 11423",40.712772,-73.780173,1,rooftop,88-15,"182nd St",Hollis,NY,"Queens County",11423,US,"City of New York"
"I.S. 281 Joseph B Cavallaro","8787 24 AVENUE BROOKLYN, NY 11214",40.595213,-73.97443,0.9,rooftop,24,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"I.S. 285 Meyer Levin","5909 BEVERLY ROAD BROOKLYN, NY 11203",40.647075,-73.92071,1,rooftop,5909,"Beverley Rd",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"I.S. 30 Mary White Ovington","7002 4TH AVENUE BROOKLYN, NY 11209",40.633472,-74.024209,1,rooftop,7002,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"I.S. 303 Herbert S. Eisenberg","501 WEST AVENUE BROOKLYN, NY 11224",40.582219,-73.972478,1,rooftop,501,"West Ave",Brooklyn,NY,"Kings County",11224,US,"City of New York"
"I.S. 318 Eugenio Maria De Hostos","101 WALTON STREET BROOKLYN, NY 11206",40.703136,-73.948139,1,rooftop,101,"Walton St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"I.S. 340","227 STERLING PLACE BROOKLYN, NY 11238",40.676104,-73.969848,1,rooftop,227,"Sterling Pl",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"I.S. 347 School of Humanities","35 STARR STREET BROOKLYN, NY 11221",40.700259,-73.928096,1,rooftop,35,"Starr St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"I.S. 49 Berta A. Dreyfus","101 WARREN STREET STATEN ISLAND, NY 10304",40.620549,-74.081526,1,rooftop,101,"Warren St","Staten Island",NY,"Richmond County",10304,US,"City of New York"
"I.S. 528 Bea Fuller Rodgers School","180 WADSWORTH AVENUE MANHATTAN, NY 10033",40.850649,-73.934557,1,rooftop,180,"Wadsworth Ave","New York",NY,"New York County",10033,US,"City of New York"
"I.S. 98 Bay Academy","1401 EMMONS AVENUE BROOKLYN, NY 11235",40.583363,-73.953828,1,rooftop,1401,"Emmons Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"I.S. R002 George L. Egbert","333 MIDLAND AVENUE STATEN ISLAND, NY 10306",40.57702,-74.100577,1,rooftop,333,"Midland Ave","Staten Island",NY,"Richmond County",10306,US,"City of New York"
"International HS at Lafayette","2630 BENSON AVENUE BROOKLYN, NY 11214",40.593992,-73.985748,1,rooftop,2630,"Benson Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"International School for Liberal Arts","2780 RESERVOIR AVENUE BRONX, NY 10468",40.87068,-73.897591,1,rooftop,2780,"Reservoir Ave",Bronx,NY,"Bronx County",10468,US,"City of New York"
"Irwin Altman Middle School 172","81-14 257 STREET QUEENS, NY 11004",40.741554,-73.712978,1,rooftop,81-14,"257th St","Glen Oaks",NY,"Queens County",11004,US,"City of New York"
"J.H.S. 008 Richard S. Grossley","108-35 167 STREET QUEENS, NY 11433",40.697092,-73.786932,1,rooftop,108-35,"167th St",Jamaica,NY,"Queens County",11433,US,"City of New York"
"J.H.S. 050 John D. Wells","183 SOUTH 3 STREET BROOKLYN, NY 11211",40.711685,-73.959952,1,rooftop,183,"S 3rd St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"J.H.S. 052 Inwood","650 ACADEMY STREET MANHATTAN, NY 10034",40.865586,-73.92476,1,rooftop,650,"Academy St","New York",NY,"New York County",10034,US,"City of New York"
"J.H.S. 054 Booker T. Washington","103 WEST 107 STREET MANHATTAN, NY 10025",40.800467,-73.963283,1,rooftop,103,"W 107th St","New York",NY,"New York County",10025,US,"City of New York"
"J.H.S. 057 Whitelaw Reid","125 STUYVESANT AVENUE BROOKLYN, NY 11221",40.691223,-73.933529,1,rooftop,125,"Stuyvesant Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"J.H.S. 062 Ditmas","700 CORTELYOU ROAD BROOKLYN, NY 11218",40.638574,-73.97124,1,rooftop,700,"Cortelyou Rd",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"J.H.S. 078 Roy H. Mann","1420 EAST 68 STREET BROOKLYN, NY 11234",40.620922,-73.912836,1,rooftop,1420,"E 68th St",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"J.H.S. 098 Herman Ridder","1619 BOSTON ROAD BRONX, NY 10460",40.836061,-73.890597,1,rooftop,1619,"Boston Rd",Bronx,NY,"Bronx County",10460,US,"City of New York"
"J.H.S. 104 Simon Baruch","330 EAST 21 STREET MANHATTAN, NY 10010",40.735926,-73.980544,1,rooftop,330,"E 21st St","New York",NY,"New York County",10010,US,"City of New York"
"J.H.S. 123 James M. Kieran","1025 MORRISON AVENUE BRONX, NY 10472",40.825007,-73.873767,1,rooftop,1025,"Morrison Ave",Bronx,NY,"Bronx County",10472,US,"City of New York"
"J.H.S. 127 The Castle Hill","1560 PURDY STREET BRONX, NY 10462",40.838132,-73.853406,1,rooftop,1560,"Purdy St",Bronx,NY,"Bronx County",10462,US,"City of New York"
"J.H.S. 131 Albert Einstein","885 BOLTON AVENUE BRONX, NY 10473",40.8235,-73.859806,1,rooftop,885,"Bolton Ave",Bronx,NY,"Bronx County",10473,US,"City of New York"
"J.H.S. 143 Eleanor Roosevelt","511 WEST 182ND STREET MANHATTAN, NY 10033",40.849099,-73.931106,1,rooftop,511,"W 182nd St","New York",NY,"New York County",10033,US,"City of New York"
"J.H.S. 144 Michelangelo","2545 GUNTHER AVENUE BRONX, NY 10469",40.864196,-73.836304,1,rooftop,2545,"Gunther Ave",Bronx,NY,"Bronx County",10469,US,"City of New York"
"J.H.S. 189 Daniel Carter Beard","144-80 BARCLAY AVENUE QUEENS, NY 11355",40.760409,-73.818014,1,rooftop,144-80,"Barclay Ave",Flushing,NY,"Queens County",11355,US,"City of New York"
"J.H.S. 201 The Dyker Heights","8010 12 AVENUE BROOKLYN, NY 11228",40.595124,-73.97512,0.9,rooftop,12,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"J.H.S. 202 Robert H. Goddard","138-30 LAFAYETTE STREET QUEENS, NY 11417",40.670832,-73.845489,1,rooftop,138-30,"Lafayette St","Ozone Park",NY,"Queens County",11417,US,"City of New York"
"J.H.S. 210 Elizabeth Blackwell","93-11 101 AVENUE QUEENS, NY 11416",40.683993,-73.8475,1,rooftop,93-11,"101st Ave","Ozone Park",NY,"Queens County",11416,US,"City of New York"
"J.H.S. 218 James P. Sinnott","370 FOUNTAIN AVENUE BROOKLYN, NY 11208",40.670685,-73.874446,1,rooftop,370,"Fountain Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"J.H.S. 220 John J. Pershing","4812 9TH AVENUE BROOKLYN, NY 11220",40.640773,-74.000808,1,rooftop,4812,"9th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"J.H.S. 227 Edward B. Shallow","6500 16 AVENUE BROOKLYN, NY 11204",40.595211,-73.974729,0.9,rooftop,16,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"J.H.S. 234 Arthur W. Cunningham","1875 EAST 17 STREET BROOKLYN, NY 11229",40.604348,-73.955318,1,rooftop,1875,"E 17th St",Brooklyn,NY,"Kings County",11229,US,"City of New York"
"J.H.S. 259 William Mckinley","7305 FT HAMILTON PARKWAY BROOKLYN, NY 11228",40.626338,-74.015141,1,rooftop,7305,"Ft Hamilton Pkwy",Brooklyn,NY,"Kings County",11228,US,"City of New York"
"J.H.S. 278 Marine Park","1925 STUART STREET BROOKLYN, NY 11229",40.606618,-73.938868,1,rooftop,1925,"Stuart St",Brooklyn,NY,"Kings County",11229,US,"City of New York"
"J.H.S. 291 Roland Hayes","231 PALMETTO STREET BROOKLYN, NY 11221",40.6955,-73.915174,1,rooftop,231,"Palmetto St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"J.H.S. 292 Margaret S. Douglas","301 VERMONT STREET BROOKLYN, NY 11207",40.671343,-73.893606,1,rooftop,301,"Vermont St",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"James Madison High School","3787 BEDFORD AVENUE BROOKLYN, NY 11229",40.609881,-73.948215,1,rooftop,3787,"Bedford Ave",Brooklyn,NY,"Kings County",11229,US,"City of New York"
"James Weldon Johnson","176 EAST 115 STREET MANHATTAN, NY 10029",40.797488,-73.941443,1,rooftop,176,"E 115th St","New York",NY,"New York County",10029,US,"City of New York"
"John Dewey High School","50 AVENUE X BROOKLYN, NY 11223",40.588188,-73.981718,1,rooftop,50,"Ave X",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"Jonas Bronck Academy","400 EAST FORDHAM ROAD BRONX, NY 10458",40.860899,-73.891931,1,rooftop,400,"E Fordham Rd",Bronx,NY,"Bronx County",10458,US,"City of New York"
"Life Sciences Secondary School","320 EAST 96 STREET MANHATTAN, NY 10128",40.783406,-73.94585,1,rooftop,320,"E 96th St","New York",NY,"New York County",10128,US,"City of New York"
"Locke School of Arts and Engineering (The)","20 WEST 112 STREET MANHATTAN, NY 10026",40.79843,-73.949399,1,rooftop,20,"W 112th St","New York",NY,"New York County",10026,US,"City of New York"
"M.S. 061 Dr. Gladstone H. Atwell","400 EMPIRE BOULEVARD BROOKLYN, NY 11225",40.663889,-73.948375,1,rooftop,400,"Empire Blvd",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"M.S. 113 Ronald Edmonds Learning Center","300 ADELPHI STREET BROOKLYN, NY 11205",40.688487,-73.97112,1,rooftop,300,"Adelphi St",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"M.S. 131","100 HESTER STREET MANHATTAN, NY 10002",40.716455,-73.993533,1,rooftop,100,"Hester St","New York",NY,"New York County",10002,US,"City of New York"
"M.S. 137 America's School of Heroes","109-15 98 STREET QUEENS, NY 11417",40.67829,-73.839647,1,rooftop,109-15,"98th St","Ozone Park",NY,"Queens County",11417,US,"City of New York"
"M.S. 158 Marie Curie","46-35 OCEANIA STREET QUEENS, NY 11361",40.755866,-73.772465,1,rooftop,46-35,"Oceania St",Bayside,NY,"Queens County",11361,US,"City of New York"
"M.S. 180 Dr. Daniel Hale Williams","700 BAYCHESTER AVENUE BRONX, NY 10475",40.873204,-73.832179,1,rooftop,700,"Baychester Ave",Bronx,NY,"Bronx County",10475,US,"City of New York"
"M.S. 260 Clinton School Writers & Artists","10 East 15th Street MANHATTAN, NY 10003",40.736259,-73.992362,1,rooftop,10,"E 15th St","New York",NY,"New York County",10003,US,"City of New York"
"M.S. 301 Paul L. Dunbar","890 CAULDWELL AVENUE BRONX, NY 10456",40.822084,-73.90722,1,rooftop,890,"Cauldwell Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"M.S. 302 Luisa Dessus Cruz","681 KELLY STREET BRONX, NY 10455",40.815676,-73.90177,1,rooftop,681,"Kelly St",Bronx,NY,"Bronx County",10455,US,"City of New York"
"M.S.129 Academy for Independent Learning and Leadership","2055 MAPES AVENUE BRONX, NY 10460",40.845682,-73.886532,1,rooftop,2055,"Mapes Ave",Bronx,NY,"Bronx County",10460,US,"City of New York"
"MANHATTAN ACADEMY FOR ARTS & LANGUAGE","111 EAST 33RD STREET MANHATTAN, NY 10016",40.746224,-73.980996,1,rooftop,111,"E 33rd St","New York",NY,"New York County",10016,US,"City of New York"
"Magnet School of Math, Science and Design Technology","511 7 AVENUE BROOKLYN, NY 11215",40.594703,-73.965808,0.9,rooftop,511,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"Martin Van Buren High School","230-17 HILLSIDE AVENUE QUEENS, NY 11427",40.733685,-73.738723,1,rooftop,230-17,"Hillside Ave","Queens Village",NY,"Queens County",11427,US,"City of New York"
"Middle College High School","1186 CARROLL STREET BROOKLYN, NY 11225",40.667082,-73.951145,1,rooftop,1186,"Carroll St",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"Middle School 322","4600 BROADWAY MANHATTAN, NY 10040",40.861017,-73.93013,1,rooftop,4600,Broadway,"New York",NY,"New York County",10040,US,"City of New York"
"Middle School for Art and Philosophy","1084 LENOX ROAD BROOKLYN, NY 11212",40.657957,-73.920276,1,rooftop,1084,"Lenox Rd",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"Mott Hall Bronx High School","1595 BATHGATE AVENUE BRONX, NY 10457",40.839288,-73.901601,1,rooftop,1595,"Bathgate Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"Mott Hall High School","6 EDGECOMBE AVENUE MANHATTAN, NY 10030",40.817386,-73.947448,1,rooftop,6,"Edgecombe Ave","New York",NY,"New York County",10030,US,"City of New York"
"New Design High School","350 GRAND STREET MANHATTAN, NY 10002",40.717348,-73.989595,1,rooftop,350,"Grand St","New York",NY,"New York County",10002,US,"City of New York"
"New Dorp High School","465 NEW DORP LANE STATEN ISLAND, NY 10306",40.569578,-74.107377,1,rooftop,465,"New Dorp Ln","Staten Island",NY,"Richmond County",10306,US,"City of New York"
"New Explorations into Science, Technology and Math High School","111 COLUMBIA STREET MANHATTAN, NY 10002",40.71914,-73.979371,1,rooftop,111,"Columbia St","New York",NY,"New York County",10002,US,"City of New York"
"New Millenium Business Acad. MS","1000 TELLER AVENUE BRONX, NY 10456",40.827892,-73.914175,1,rooftop,1000,"Teller Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"Origins High School","3000 AVENUE X BROOKLYN, NY 11235",40.594005,-73.937395,1,rooftop,3000,"Ave X",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"P.S. /I.S. 384 Frances E. Carter","242 COOPER STREET BROOKLYN, NY 11207",40.690113,-73.904894,1,rooftop,242,"Cooper St",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 001 Alfred E. Smith","8 HENRY STREET MANHATTAN, NY 10038",40.712661,-73.997517,1,rooftop,8,"Henry St","New York",NY,"New York County",10038,US,"City of New York"
"P.S. 001 The Bergen","309 47 STREET BROOKLYN, NY 11220",40.649091,-74.011833,1,rooftop,309,"47th St",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"P.S. 002 Alfred Zimberg","75-10 21 AVENUE QUEENS, NY 11370",40.770195,-73.894005,1,rooftop,75-10,"21st Ave","East Elmhurst",NY,"Queens County",11370,US,"City of New York"
"P.S. 002 Meyer London","122 HENRY STREET MANHATTAN, NY 10002",40.713167,-73.99135,1,rooftop,122,"Henry St","New York",NY,"New York County",10002,US,"City of New York"
"P.S. 004 Duke Ellington","500 WEST 160 STREET MANHATTAN, NY 10032",40.834847,-73.941204,1,rooftop,500,"W 160th St","New York",NY,"New York County",10032,US,"City of New York"
"P.S. 004 Maurice Wollin","200 NEDRA LANE STATEN ISLAND, NY 10312",40.552373,-74.195516,1,rooftop,200,"Nedra Ln","Staten Island",NY,"Richmond County",10312,US,"City of New York"
